StudyHours,Attendance,PreviousScore,Result
3,61,91,Pass
7,51,46,Pass
7,92,90,Pass
4,67,45,Fail
1,80,49,Fail
4,79,57,Fail
4,64,36,Pass
4,75,56,Pass
5,72,76,Pass
9,75,78,Pass
1,57,91,Pass
5,61,72,Pass
2,88,62,Pass
6,96,85,Pass
9,57,59,Pass
10,62,51,Pass
9,84,78,Pass
4,73,62,Pass
6,89,55,Pass
2,96,92,Pass
7,70,60,Pass
5,85,43,Pass
7,93,82,Pass
3,89,71,Pass
1,69,53,Pass
4,77,85,Pass
8,78,63,Pass
4,82,65,Pass
3,92,40,Fail
5,82,77,Pass
4,93,54,Pass
4,62,44,Pass
8,89,89,Pass
2,79,61,Pass
7,81,60,Pass
4,59,76,Pass
2,99,62,Fail
4,61,86,Pass
1,85,50,Fail
2,79,43,Fail
9,88,55,Pass
8,89,87,Pass
9,78,92,Pass
3,97,90,Pass
4,90,52,Pass
9,81,75,Pass
5,65,52,Pass
6,70,92,Pass
4,74,79,Pass
3,95,48,Pass
9,79,61,Pass
1,63,88,Fail
10,94,36,Pass
10,74,65,Pass
7,76,69,Pass
9,88,92,Pass
7,81,36,Pass
7,71,77,Pass
3,79,93,Pass
3,89,69,Pass
10,92,36,Pass
2,91,62,Pass
1,66,59,Pass
6,63,64,Pass
7,67,83,Pass
7,66,88,Pass
9,53,95,Pass
6,64,76,Pass
1,98,36,Pass
4,62,88,Pass
3,80,77,Pass
2,86,95,Pass
6,60,73,Pass
10,97,80,Pass
5,56,72,Pass
1,69,71,Fail
7,95,47,Fail
2,87,79,Pass
5,93,73,Pass
2,100,71,Pass
7,92,58,Pass
2,82,76,Fail
8,56,62,Pass
6,90,92,Pass
7,61,81,Pass
9,91,52,Pass
8,79,62,Pass
10,67,55,Pass
2,67,91,Fail
8,65,83,Pass
7,71,36,Pass
8,70,46,Pass
5,71,52,Pass
10,94,91,Pass
4,55,50,Fail
7,81,70,Pass
8,78,85,Pass
1,55,53,Fail
5,92,72,Pass
6,80,70,Pass
9,71,57,Pass
8,67,54,Pass
4,70,42,Pass
9,98,79,Pass
8,67,81,Pass
10,98,68,Pass
4,68,49,Fail
6,61,54,Pass
5,52,38,Fail
9,68,79,Pass
8,56,90,Pass
1,86,53,Fail
3,53,51,Fail
8,57,87,Pass
10,90,78,Pass
1,59,44,Fail
2,65,42,Fail
9,98,61,Pass
4,99,68,Pass
7,78,93,Pass
7,69,71,Pass
10,53,74,Pass
4,90,48,Pass
5,92,40,Pass
2,60,35,Fail
7,78,79,Pass
4,68,80,Pass
5,94,90,Pass
5,100,85,Pass
10,92,86,Pass
9,64,76,Pass
3,67,87,Pass
5,88,82,Pass
10,68,63,Pass
7,67,67,Pass
9,81,63,Pass
7,97,55,Pass
10,66,36,Pass
10,87,95,Pass
1,98,78,Pass
3,80,68,Fail
8,67,46,Pass
8,55,65,Pass
6,76,56,Pass
3,71,61,Pass
8,68,77,Pass
9,52,64,Pass
2,70,51,Fail
7,82,87,Pass
1,92,90,Pass
4,83,58,Pass
10,98,66,Pass
4,67,70,Fail
3,68,63,Pass
1,90,73,Fail
4,95,45,Pass
7,55,49,Pass
2,79,95,Pass
8,95,53,Pass
9,95,52,Pass
8,65,64,Pass
9,59,59,Pass
3,54,52,Pass
7,71,94,Pass
1,68,81,Fail
5,87,72,Pass
3,78,69,Pass
8,72,56,Pass
8,70,90,Pass
4,94,50,Pass
7,52,55,Pass
8,95,93,Pass
3,81,37,Fail
3,82,72,Pass
8,56,68,Pass
8,50,81,Pass
3,54,65,Pass
5,71,74,Pass
6,93,89,Pass
9,74,55,Pass
8,84,37,Fail
10,54,50,Fail
4,97,40,Fail
7,56,83,Pass
8,60,79,Pass
5,51,37,Fail
6,73,62,Pass
3,65,68,Fail
3,60,46,Pass
